serie,registros,media,mediana,desvio_padrao,assimetria_skew,curtose,min,q1,q3,iqr,limite_inferior_iqr,limite_superior_iqr,max,outliers_iqr,outliers_iqr_pct,metodo,shapiro_w_mediano,shapiro_p_value_mediano,amostras_normais,amostras_testadas,normalidade_aprovada
log1p,110675,6.960023182710443,6.7974938847246,2.252927271107014,0.31215810267246075,0.3630472232186106,0.0,5.424156747499712,8.371242135931933,2.947085388432221,1.0035286648513804,12.791870218580264,18.82901374239559,1501,0.013562231759656653,Aplica log(1 + x). Reduz a cauda de valores monetarios muito altos.,0.9922099175719474,1.7688374187541776e-08,0,10,False
boxcox,110675,8.186648952188204,7.859401190215606,3.2037589484875233,0.135206653727494,3.1339635278396387,-10.496609349892799,6.0823504605225835,10.021377102320951,3.9390266417983675,0.17381049782503233,15.929917065018502,28.62707331575971,2146,0.019390106166704314,Transformacao Box-Cox; escolhe lambda para aproximar normalidade.,0.957439308253512,1.0210755617516197e-23,0,10,False
iqr_boxcox,110675,11.855858283958318,11.3806768784696,4.840854865433057,-0.03807697439835665,-0.7091903770662644,-6.09295310284616,8.126405997736342,15.963405966654582,7.83699996891824,-3.629093955641018,27.718905920031943,19.01884210676444,268,0.002421504404788796,"Primeiro trata outliers por IQR, depois aplica Box-Cox.",0.9508848519526387,2.3683496320491536e-25,0,10,False
iqr_log1p,110675,6.7477796163486685,6.7974938847246,1.8818182621467,-0.4223943563709671,-0.3487945477035974,0.0,5.424156747499712,8.371242135931933,2.947085388432221,1.0035286648513804,12.791870218580264,9.2555307312825,450,0.0040659588886379034,"Primeiro trata outliers por IQR, depois aplica log(1 + x).",0.9496706089013358,1.2262880342019484e-25,0,10,False
iqr_sqrt,110675,42.48293394284318,29.909864593474843,33.618546776234695,0.7470176864167636,-0.8795945795457909,0.0,15.027308460172414,65.72670690061993,50.69939844044752,-61.021789200498866,141.7758045612912,102.28035001895526,0,0.0,"Primeiro trata outliers por IQR, depois aplica raiz quadrada.",0.8521447280869897,9.316763411312979e-40,0,10,False
iqr_winsorizado,110675,2934.9961517957986,894.6,3796.5133960067114,1.1924159620287607,-0.21943308865299693,0.0,225.82,4320.0,4094.18,-5915.45,10461.27,10461.27,0,0.0,Substitui outliers pelos limites Q1 - 1.5*IQR e Q3 + 1.5*IQR.,0.7146426947084539,5.822963198288271e-50,0,10,False
sqrt,110675,67.42869973028878,29.909864593474843,160.2081314823066,16.979113712329063,611.1102125163727,0.0,15.027308460172414,65.72670690061993,50.69939844044752,-61.021789200498866,141.7758045612912,12265.023440662477,11344,0.10249830585046307,Aplica raiz quadrada. Reduz dispersao de forma mais suave que log.,0.3717606842679823,1.55907256851578e-63,0,10,False
original,110675,30213.043030313984,894.6,650521.5532172496,131.3132747313709,26840.207745612057,0.0,225.82,4320.0,4094.18,-5915.45,10461.27,150430800.0,17335,0.15662977185452903,Sem transformacao.,0.03715621266593644,4.987609403807426e-72,0,10,False
