conjunto,valor_real,valor_previsto,residuo
teste,1185.84,0.0,1185.84
teste,2290.0,0.0,2290.0
teste,8500.0,0.0,8500.0
teste,421.0,0.0,421.0
teste,946.96,0.0,946.96
teste,14800.0,0.0,14800.0
teste,159.48,0.0,159.48
teste,30.16,0.0,30.16
teste,3188.12,0.0,3188.12
teste,1299.92,0.0,1299.92
teste,110.28,0.0,110.28
teste,359.67,0.0,359.67
teste,46296.0,0.0,46296.0
teste,604.5,0.0,604.5
teste,21427.14,39839.97196115962,-18412.831961159623
teste,164.82,0.0,164.82
teste,990.0,0.0,990.0
teste,5406.0,24968.435833709023,-19562.435833709023
teste,85500.0,0.0,85500.0
teste,87.5,0.0,87.5
teste,369.16,0.0,369.16
teste,116.0,0.0,116.0
teste,7497.0,105906.21288113642,-98409.21288113642
teste,15250.0,0.0,15250.0
teste,83.4,0.0,83.4
teste,130.2,73840.14101934007,-73709.94101934007
teste,375.9,105906.21288113642,-105530.31288113643
teste,12705.0,105906.21288113642,-93201.21288113642
teste,270.0,0.0,270.0
teste,254.9,0.0,254.9
teste,11617.5,1400320.9521658134,-1388703.4521658134
teste,9215.0,21671.88529696319,-12456.885296963192
teste,25800.0,105906.21288113642,-80106.21288113642
teste,518.4,0.0,518.4
teste,1080.0,0.0,1080.0
teste,68.82,0.0,68.82
teste,759.3,8426.845044008594,-7667.545044008594
teste,70.89,0.0,70.89
teste,18879.0,0.0,18879.0
teste,232159.8,94169.04153540632,137990.75846459367
teste,1942.5,105906.21288113642,-103963.71288113642
teste,1593.75,0.0,1593.75
teste,932.24,0.0,932.24
teste,35.0,0.0,35.0
teste,7884.0,0.0,7884.0
teste,102.5,0.0,102.5
teste,21.0,0.0,21.0
teste,23108.4,0.0,23108.4
teste,346.88,0.0,346.88
teste,4602.0,0.0,4602.0
teste,400.0,0.0,400.0
teste,644.0,0.0,644.0
teste,111.0,0.0,111.0
teste,524.07,0.0,524.07
teste,493.2,0.0,493.2
teste,58750.0,0.0,58750.0
teste,1860.0,89416.75314686229,-87556.75314686229
teste,109.14,0.0,109.14
teste,28861.0,0.0,28861.0
teste,507.68,0.0,507.68
teste,107.96,0.0,107.96
teste,4610.82,0.0,4610.82
teste,19.8,0.0,19.8
teste,2204.5,42045.63274211502,-39841.13274211502
teste,476.39,0.0,476.39
teste,4.2,0.0,4.2
teste,456.0,0.0,456.0
teste,4740.0,0.0,4740.0
teste,136.5,0.0,136.5
teste,2.56,0.0,2.56
teste,178.0,0.0,178.0
teste,687.1,0.0,687.1
teste,74700.0,0.0,74700.0
teste,949.26,0.0,949.26
teste,57050.0,0.0,57050.0
teste,5160.0,0.0,5160.0
teste,1425.0,0.0,1425.0
teste,239.76,0.0,239.76
teste,1749.09,0.0,1749.09
teste,8000.0,42558.02049671011,-34558.02049671011
teste,1435.8,0.0,1435.8
teste,506.1,0.0,506.1
teste,873.47,5693.7936687849215,-4820.323668784921
teste,174.5,0.0,174.5
teste,35350.0,72110.14386117543,-36760.14386117543
teste,12.9,0.0,12.9
teste,4000.0,0.0,4000.0
teste,3000.0,0.0,3000.0
teste,91.62,0.0,91.62
teste,4544.0,0.0,4544.0
teste,181.35,0.0,181.35
teste,119.2,0.0,119.2
teste,367.0,0.0,367.0
teste,18.34,0.0,18.34
teste,18.75,0.0,18.75
teste,3180.0,0.0,3180.0
teste,28620.0,0.0,28620.0
teste,3322.6,144154.45329235276,-140831.85329235275
teste,4509.96,6805.247654350467,-2295.287654350467
teste,350.81,0.0,350.81
teste,104000.0,0.0,104000.0
teste,1283.85,105906.21288113642,-104622.36288113642
teste,5250.0,0.0,5250.0
teste,84.78,0.0,84.78
teste,8000.0,123566.07432447554,-115566.07432447554
teste,1180.0,0.0,1180.0
teste,548.16,0.0,548.16
teste,6800.0,0.0,6800.0
teste,885.2,0.0,885.2
teste,720.0,0.0,720.0
teste,2493.9,105906.21288113642,-103412.31288113643
teste,19578.3,0.0,19578.3
teste,1109.7,0.0,1109.7
teste,20388.0,646493.9831374822,-626105.9831374822
teste,184.0,0.0,184.0
teste,51200.0,0.0,51200.0
teste,17850.0,0.0,17850.0
teste,3120.0,0.0,3120.0
teste,2078.0,0.0,2078.0
teste,204.16,0.0,204.16
teste,0.0,0.0,0.0
teste,109.99,0.0,109.99
teste,400.0,0.0,400.0
teste,13464.0,0.0,13464.0
teste,5173.28,5693.7936687849215,-520.5136687849217
teste,293.08,0.0,293.08
teste,2091.57,0.0,2091.57
teste,711.34,0.0,711.34
teste,60.0,0.0,60.0
teste,434.44,5693.7936687849215,-5259.353668784922
teste,365.04,0.0,365.04
teste,19.0,0.0,19.0
teste,103.88,0.0,103.88
teste,9402.0,0.0,9402.0
teste,500.0,0.0,500.0
teste,119700.0,0.0,119700.0
teste,164.61,0.0,164.61
teste,1242.7,5693.7936687849215,-4451.093668784922
teste,2661.6,0.0,2661.6
teste,13424.4,89507.90552660084,-76083.50552660084
teste,23027.94,0.0,23027.94
teste,15137.5,0.0,15137.5
teste,842.88,0.0,842.88
teste,139503.2,30147.670817419108,109355.52918258091
teste,379.89,0.0,379.89
teste,334.0,0.0,334.0
teste,41.0,0.0,41.0
teste,1668.0,34747.46661733147,-33079.46661733147
teste,56712.5,0.0,56712.5
teste,709.75,94039.92750122579,-93330.17750122579
teste,21730.0,0.0,21730.0
teste,244.0,0.0,244.0
teste,131.4,8426.845044008594,-8295.445044008595
teste,7462.69,0.0,7462.69
teste,14.72,5693.7936687849215,-5679.073668784921
teste,73000.0,0.0,73000.0
teste,56.8,7878.014646578966,-7821.214646578966
teste,9.4,0.0,9.4
teste,840.35,0.0,840.35
teste,449.4,0.0,449.4
teste,12200.0,0.0,12200.0
teste,8700.0,0.0,8700.0
teste,668.0,0.0,668.0
teste,270.0,0.0,270.0
teste,40000.0,0.0,40000.0
teste,1200.0,0.0,1200.0
teste,12669.56,2440456.1133392686,-2427786.5533392685
teste,737.21,0.0,737.21
teste,174.2,5693.7936687849215,-5519.593668784922
teste,309.97,0.0,309.97
teste,964.8,7878.014646578966,-6913.214646578966
teste,640.0,0.0,640.0
teste,202.58,0.0,202.58
teste,1914.0,8439.468055717749,-6525.468055717749
teste,6487.5,0.0,6487.5
teste,168.0,0.0,168.0
teste,14600.0,0.0,14600.0
teste,250.0,0.0,250.0
teste,706.75,0.0,706.75
teste,6657.0,0.0,6657.0
teste,88.0,0.0,88.0
teste,2340.36,0.0,2340.36
teste,127.2,0.0,127.2
teste,213.24,0.0,213.24
teste,65.0,0.0,65.0
teste,92.5,0.0,92.5
teste,128.0,0.0,128.0
teste,7350.0,0.0,7350.0
teste,216.2,0.0,216.2
teste,110.28,0.0,110.28
teste,876.15,0.0,876.15
teste,5755.6,0.0,5755.6
teste,826.74,0.0,826.74
teste,0.0,0.0,0.0
teste,2850.0,0.0,2850.0
teste,6084.62,0.0,6084.62
teste,813.4,0.0,813.4
teste,4500.0,0.0,4500.0
teste,483.36,0.0,483.36
teste,587.95,0.0,587.95
teste,4020.0,0.0,4020.0
teste,2432.7,0.0,2432.7
teste,385033.73,0.0,385033.73
teste,6000.0,0.0,6000.0
teste,1288.0,0.0,1288.0
teste,11111.76,105906.21288113642,-94794.45288113643
teste,494.52,0.0,494.52
teste,8704.0,0.0,8704.0
teste,1210.4,105906.21288113642,-104695.81288113643
teste,1534.5,0.0,1534.5
teste,5100.0,0.0,5100.0
teste,39.0,0.0,39.0
teste,146.9,0.0,146.9
teste,1440.91,298.2233052111769,1142.6866947888232
teste,446.3,0.0,446.3
teste,32000.0,0.0,32000.0
teste,62.0,0.0,62.0
teste,51.96,0.0,51.96
teste,98.64,73840.14101934007,-73741.50101934007
teste,350.32,0.0,350.32
teste,3549.0,1512042.9343832515,-1508493.9343832515
teste,475.05,0.0,475.05
teste,328.5,0.0,328.5
teste,800000.0,453142.947367306,346857.052632694
teste,23.0,0.0,23.0
teste,80132.25,0.0,80132.25
