feature,correlacao_raw,correlacao_log,tipo,coluna_origem,correlacao_usada,abs_correlacao_usada,possivel_vazamento_target
agg__contratos__valor__min,0.750431289419867,0.13970947866287872,numerica,agg__contratos__valor__min,0.750431289419867,0.750431289419867,False
agg__contratos__valor__mean,0.7452782421993683,0.1521262090796326,numerica,agg__contratos__valor__mean,0.7452782421993683,0.7452782421993683,False
agg__contratos__valor__max,0.7136650919009441,0.17124998063837713,numerica,agg__contratos__valor__max,0.7136650919009441,0.7136650919009441,False
agg__contratos__valor__sum,0.6407495802763228,0.1864439480145088,numerica,agg__contratos__valor__sum,0.6407495802763228,0.6407495802763228,False
proc__valorEstimado,0.14501660744620523,0.22619637739189202,numerica,proc__valorEstimado,0.14501660744620523,0.14501660744620523,False
agg__participantes__formaParticipacao__nunique,0.13682098263736714,0.013668707951089648,numerica,agg__participantes__formaParticipacao__nunique,0.13682098263736714,0.13682098263736714,False
proc__modalidade_Concorrência,0.12617946188113746,0.020092974811739186,one_hot,proc__modalidade,0.12617946188113746,0.12617946188113746,False
proc__formaJulgamento_MENOR PREÇO MENSAL,0.11977751503846544,0.029259184830694836,one_hot,proc__formaJulgamento,0.11977751503846544,0.11977751503846544,False
proc__enderecoEntrega_Rua Domênico Sonego,0.10171171975924992,0.05618350102999113,one_hot,proc__enderecoEntrega,0.10171171975924992,0.10171171975924992,False
proc__enderecoCertame_Rua Domênico Sonego,0.10171171975924992,0.05618350102999113,one_hot,proc__enderecoCertame,0.10171171975924992,0.10171171975924992,False
