variavel,coeficiente,erro_padrao,t,p_value,intervalo_95_inf,intervalo_95_sup,feature,correlacao_raw,correlacao_log,possivel_vazamento_target
constante,-29641.677425816713,831.3806248335254,-35.653558118162934,0.0,-31271.175786361608,-28012.17906527182,,,,
agg__contratos__valor__min,0.7570256698354435,0.031046258912183284,24.383796836093794,0.0,0.6961752885692395,0.8178760511016475,agg__contratos__valor__min,0.750431289419867,0.13970947866287872,False
agg__contratos__valor__mean,-0.10587796562859039,0.05096823513903977,-2.077332388295545,0.03777376764712859,-0.20577523664758046,-0.005980694609600337,agg__contratos__valor__mean,0.7452782421993683,0.1521262090796326,False
agg__contratos__valor__max,-0.09776655774834286,0.034297091898721245,-2.8505786448905326,0.004364983839965975,-0.16498854170017552,-0.03054457379651021,agg__contratos__valor__max,0.7136650919009441,0.17124998063837713,False
agg__contratos__valor__sum,0.07876946916977123,0.012375258395438926,6.365076724280991,1.961431017605264e-10,0.054514076796723,0.10302486154281947,agg__contratos__valor__sum,0.6407495802763228,0.1864439480145088,False
proc__valorEstimado,0.008917300154673513,0.000346533483473752,25.732867327231737,0.0,0.00823809772160327,0.009596502587743756,proc__valorEstimado,0.14501660744620523,0.22619637739189202,False
agg__participantes__formaParticipacao__nunique,-29641.677425816906,831.3806245494865,-35.65355813034411,0.0,-31271.175785805088,-28012.179065828725,agg__participantes__formaParticipacao__nunique,0.13682098263736714,0.013668707951089648,False
proc__modalidade_Concorrência,387295.17752177303,1.8315590272560387,211456.56337486522,0.0,387291.58768296393,387298.76736058213,proc__modalidade_Concorrência,0.12617946188113746,0.020092974811739186,False
proc__formaJulgamento_MENOR PREÇO MENSAL,-841873.7145501915,0.2867161224311282,-2936262.2074118527,0.0,-841874.2765111484,-841873.1525892346,proc__formaJulgamento_MENOR PREÇO MENSAL,0.11977751503846544,0.029259184830694836,False
proc__enderecoEntrega_Rua Domênico Sonego,451227.4384514163,0.11364854667470312,3970375.7914561564,0.0,451227.2157013125,451227.6612015201,proc__enderecoEntrega_Rua Domênico Sonego,0.10171171975924992,0.05618350102999113,False
proc__enderecoCertame_Rua Domênico Sonego,451227.4384515329,0.11364854667470312,3970375.7914571823,0.0,451227.2157014291,451227.6612016367,proc__enderecoCertame_Rua Domênico Sonego,0.10171171975924992,0.05618350102999113,False
