conjunto,valor_real,valor_previsto,residuo
teste,152298.7,156756.27219666776,-4457.572196667752
teste,840.0,3784.2575241246263,-2944.2575241246263
teste,11695.07,0.0,11695.07
teste,230.32,2231.112887940878,-2000.792887940878
teste,4063.6,3821.052430634003,242.54756936599688
teste,2400.0,4328.118912036214,-1928.1189120362142
teste,3482.59,5062.206182815491,-1579.616182815491
teste,46506.6,137259.7903211742,-90753.19032117419
teste,35.52,0.0,35.52
teste,4949.73,3661.172280160428,1288.5577198395717
teste,3690.0,5010.1354306474805,-1320.1354306474805
teste,210.0,2373.348193022102,-2163.348193022102
teste,102.16,2203.4764296287904,-2101.3164296287905
teste,3530.95,3508.0810259551163,22.868974044883544
teste,17163.65,52751.96359743015,-35588.31359743015
teste,78936.81,33828.20015806584,45108.60984193416
teste,32973.46,19503.503741240405,13469.956258759594
teste,259.0,2125.914521344788,-1866.9145213447882
teste,1365.0,6490.052450621883,-5125.052450621883
teste,46.8,6891.096544305547,-6844.296544305546
teste,3915.66,5236.653939777552,-1320.9939397775524
teste,1240.0,6010.465031298238,-4770.465031298238
teste,149.15,1940.5154144845062,-1791.3654144845061
teste,160.0,3419.3988868053902,-3259.3988868053902
teste,195.12,0.0,195.12
teste,387.64,0.0,387.64
teste,126.7,2362.760620278917,-2236.060620278917
teste,250.2,2193.9696913366593,-1943.7696913366592
teste,262.0,3284.9491424892035,-3022.9491424892035
teste,369.76,2090.085348975101,-1720.3253489751012
teste,69.0,2100.875424083505,-2031.875424083505
teste,127.04,2226.750277577087,-2099.7102775770873
teste,692.85,1688.9204606590108,-996.0704606590108
teste,311.27,458.31401457541944,-147.04401457541945
teste,21869.16,18936.64420804191,2932.515791958089
teste,88.79,2067.631699021202,-1978.8416990212022
teste,16447.5,9160.03310573907,7287.46689426093
teste,1050.0,4493.967655233252,-3443.967655233252
teste,153.86,0.0,153.86
teste,1355.67,2701.4454507266582,-1345.7754507266582
teste,5848.0,10697.75741792955,-4849.75741792955
teste,56.9,1562.8220746877073,-1505.9220746877072
teste,19000.0,28745.703530568975,-9745.703530568975
teste,670.05,2228.854977944659,-1558.804977944659
teste,17681.44,6432.168966564019,11249.27103343598
teste,494.53,1766.9745689162505,-1272.4445689162505
teste,382.5,2129.1438677311226,-1746.6438677311226
teste,1513.8,4033.5081815201543,-2519.7081815201545
teste,5512.5,4106.169522931824,1406.3304770681762
teste,440.0,2221.8664937187855,-1781.8664937187855
teste,260.0,2099.0928195866245,-1839.0928195866245
teste,2580.0,2248.8816137947783,331.11838620522167
teste,1740.0,3800.484582818788,-2060.484582818788
teste,2800.0,2739.884919217346,60.11508078265388
teste,150.0,1787.5857295878684,-1637.5857295878684
teste,751.44,2176.8894190708515,-1425.4494190708515
teste,8096.0,5919.225241803304,2176.774758196696
teste,6180.0,3514.7221498920844,2665.2778501079156
teste,12750.0,20414.45494265028,-7664.454942650282
teste,5698.5,3074.8107624025097,2623.6892375974903
teste,146.35,1549.9876682239308,-1403.6376682239309
teste,408.48,475.96389432888986,-67.48389432888985
teste,450.0,3358.1384356507306,-2908.1384356507306
teste,55200.0,24170.5567743761,31029.4432256239
teste,66.06,2138.9797657395015,-2072.9197657395016
teste,342.0,13114.968194935976,-12772.968194935976
teste,1170.75,1252.0473295995566,-81.29732959955663
teste,66.6,3559.3481103571435,-3492.7481103571436
teste,1594.0,4056.620593978344,-2462.620593978344
teste,1875.0,2937.5901691335416,-1062.5901691335416
teste,40.0,2025.0079971178156,-1985.0079971178156
teste,2095.0,2604.829599633754,-509.8295996337538
teste,1170.0,4481.133556793604,-3311.133556793604
teste,31.84,2203.5722109899643,-2171.732210989964
teste,167.4,0.0,167.4
teste,1280.0,4917.124611874516,-3637.1246118745157
teste,19.8,0.0,19.8
