valor_real,valor_previsto,residuo
1185.84,8420.07731911947,-7234.237319119469
2290.0,2728.664214231153,-438.664214231153
8500.0,0.0,8500.0
421.0,4198.967952960698,-3777.9679529606983
946.96,1800.5395592842967,-853.5795592842967
14800.0,15013.87857864275,-213.87857864275065
159.48,758.7750759215986,-599.2950759215986
30.16,0.0,30.16
3188.12,13161.122932839813,-9973.002932839812
1299.92,3213.569948283774,-1913.649948283774
110.28,0.0,110.28
359.67,4542.363441477424,-4182.693441477424
46296.0,262244.27351960255,-215948.27351960255
604.5,0.0,604.5
21427.14,0.0,21427.14
164.82,843.5831204185805,-678.7631204185805
990.0,6638.670253108303,-5648.670253108303
5406.0,10063.18728956032,-4657.187289560319
85500.0,124849.91198471445,-39349.91198471445
87.5,3813.7323685836955,-3726.2323685836955
369.16,1004.8905543934806,-635.7305543934806
116.0,4562.202125059495,-4446.202125059495
7497.0,4972.033209554369,2524.966790445631
15250.0,12778.839228417559,2471.160771582441
83.4,3840.9457254484064,-3757.5457254484063
130.2,15284.154458561314,-15153.954458561313
375.9,0.0,375.9
12705.0,9921.054250387371,2783.945749612629
270.0,0.0,270.0
254.9,3967.266320684898,-3712.366320684898
11617.5,271402.8532756764,-259785.35327567637
9215.0,9073.5724922964,141.42750770359999
25800.0,235839.61617383198,-210039.61617383198
518.4,4141.2319384981965,-3622.8319384981965
1080.0,4618.746906837297,-3538.7469068372966
68.82,2437.310156383604,-2368.490156383604
759.3,27566.181186723312,-26806.881186723313
70.89,0.0,70.89
18879.0,19309.78287612911,-430.78287612910935
232159.8,223726.81147666695,8432.988523333042
1942.5,0.0,1942.5
1593.75,6178.684609918689,-4584.934609918689
932.24,2014.4389888227004,-1082.1989888227004
35.0,15779.682812875262,-15744.682812875262
7884.0,6772.969488707997,1111.0305112920032
102.5,2766.3490338269307,-2663.8490338269307
21.0,3360.6492638381674,-3339.6492638381674
23108.4,23743.939731890758,-635.5397318907562
346.88,2953.4286205451876,-2606.5486205451875
4602.0,49721.93823805325,-45119.93823805325
400.0,0.0,400.0
644.0,4921.916625424636,-4277.916625424636
111.0,654.819263876633,-543.819263876633
524.07,0.0,524.07
493.2,21294.560998919937,-20801.360998919936
58750.0,59871.69795320908,-1121.6979532090772
1860.0,0.0,1860.0
109.14,0.0,109.14
28861.0,29185.091657682337,-324.0916576823365
507.68,0.0,507.68
107.96,647.6600924342482,-539.7000924342482
4610.82,13529.9772294081,-8919.1572294081
19.8,536.1054875230028,-516.3054875230029
2204.5,11794.911580819682,-9590.411580819682
476.39,0.0,476.39
4.2,0.0,4.2
456.0,16122.895354272894,-15666.895354272894
4740.0,5201.450178190172,-461.45017819017175
136.5,4554.9043329478245,-4418.4043329478245
2.56,29591.305631937736,-29588.745631937734
178.0,5846.211731699672,-5668.211731699672
687.1,30576.760522523327,-29889.66052252333
74700.0,83264.56932841543,-8564.569328415426
949.26,2926.6268420802594,-1977.3668420802594
57050.0,60188.53878671721,-3138.5387867172103
5160.0,0.0,5160.0
1425.0,3469.65617435841,-2044.6561743584102
239.76,0.0,239.76
1749.09,4160.34549304888,-2411.2554930488795
8000.0,10179.474152005121,-2179.474152005121
1435.8,8602.737745290238,-7166.937745290238
506.1,5108.620702423106,-4602.520702423106
873.47,5801.432098993174,-4927.962098993174
174.5,4021.7903374392968,-3847.2903374392968
35350.0,36731.46333911521,-1381.4633391152092
12.9,3990.5104213453033,-3977.610421345303
4000.0,3526.229093037641,473.7709069623588
3000.0,0.0,3000.0
91.62,9124.929295901824,-9033.309295901823
4544.0,210.8437043307774,4333.156295669222
181.35,2531.091339655331,-2349.741339655331
119.2,4579.236619733201,-4460.036619733201
367.0,2504.2760956808565,-2137.2760956808565
18.34,2675.4401287333726,-2657.1001287333725
18.75,3750.4861395141074,-3731.7361395141074
3180.0,0.0,3180.0
28620.0,25995.903614026833,2624.0963859731673
3322.6,0.0,3322.6
4509.96,0.0,4509.96
350.81,0.0,350.81
104000.0,148251.14237585934,-44251.142375859345
1283.85,0.0,1283.85
5250.0,9826.563994336326,-4576.563994336326
84.78,0.0,84.78
8000.0,4930.556647103396,3069.4433528966038
1180.0,9898.16765629063,-8718.16765629063
548.16,10449.014847247196,-9900.854847247196
6800.0,18151.350029568006,-11351.350029568006
885.2,10119.252033809666,-9234.052033809665
720.0,0.0,720.0
2493.9,194.4698208415197,2299.4301791584803
19578.3,11923.300579961722,7654.999420038277
1109.7,21521.920666984828,-20412.220666984827
20388.0,139776.55586912952,-119388.55586912952
184.0,2412.7253101398605,-2228.7253101398605
51200.0,38702.00722713169,12497.99277286831
17850.0,26401.18708946714,-8551.187089467141
3120.0,6285.4811214507,-3165.4811214507
2078.0,17240.34764754327,-15162.347647543269
204.16,927.076740017378,-722.9167400173781
0.0,3714.8638891841792,-3714.8638891841792
109.99,29857.97455205013,-29747.98455205013
400.0,4546.113921237479,-4146.113921237479
13464.0,11606.600034292685,1857.3999657073145
5173.28,11319.571043313728,-6146.291043313729
293.08,912.0230288192532,-618.9430288192532
2091.57,5011.934850784006,-2920.3648507840057
711.34,9971.197302747376,-9259.857302747376
60.0,4721.628351009958,-4661.628351009958
434.44,4647.091619699161,-4212.6516196991615
365.04,29939.524099917515,-29574.484099917514
19.0,1878.1940109996583,-1859.1940109996583
103.88,640.2344196264011,-536.3544196264011
9402.0,13272.014296531977,-3870.0142965319774
500.0,17732.227451766244,-17232.227451766244
119700.0,107757.49439430225,11942.505605697748
164.61,4649.249014735259,-4484.6390147352595
1242.7,5512.0200178668465,-4269.320017866847
2661.6,0.0,2661.6
13424.4,28258.398831059807,-14833.998831059807
23027.94,0.0,23027.94
15137.5,11191.383730111827,3946.1162698881726
842.88,8050.413273365174,-7207.533273365174
139503.2,139469.30366958317,33.89633041684283
379.89,0.0,379.89
334.0,2443.747247621876,-2109.747247621876
41.0,4052.5743464705884,-4011.5743464705884
1668.0,0.0,1668.0
56712.5,48061.791174485894,8650.708825514106
709.75,2439.2693648826494,-1729.5193648826494
21730.0,21559.099820690855,170.90017930914473
244.0,0.0,244.0
131.4,26286.579353129397,-26155.179353129395
7462.69,0.0,7462.69
14.72,4172.683356610899,-4157.963356610899
73000.0,33228.886896739314,39771.113103260686
56.8,2140.7824918934634,-2083.9824918934632
9.4,4633.7957889044865,-4624.395788904487
840.35,2249.8502651537265,-1409.5002651537266
449.4,1053.819358739928,-604.419358739928
12200.0,15018.179219964239,-2818.1792199642387
8700.0,43594.13803231804,-34894.13803231804
668.0,10603.931744183406,-9935.931744183406
270.0,4957.455083505466,-4687.455083505466
40000.0,40735.448099488196,-735.448099488196
1200.0,5379.4391110727,-4179.4391110727
12669.56,466555.50441997027,-453885.94441997027
737.21,10337.648750517434,-9600.438750517435
174.2,4351.452469043798,-4177.252469043799
309.97,4218.393617871696,-3908.4236178716956
964.8,3478.2415617578804,-2513.4415617578807
640.0,5700.697948482301,-5060.697948482301
202.58,828.182602421365,-625.602602421365
1914.0,4464.043503080756,-2550.0435030807557
6487.5,9304.579041127858,-2817.0790411278576
168.0,2146.098663156525,-1978.0986631565252
14600.0,18769.483194335207,-4169.483194335207
250.0,1611.4548386065728,-1361.4548386065728
706.75,2716.571943168926,-2009.8219431689258
6657.0,250633.1061894878,-243976.1061894878
88.0,2002.033784176973,-1914.033784176973
2340.36,12599.325487248341,-10258.96548724834
127.2,3924.7292940094253,-3797.5292940094255
213.24,751.5667705905934,-538.3267705905934
65.0,2717.277089800995,-2652.277089800995
92.5,4499.492109026143,-4406.992109026143
128.0,4855.555693418823,-4727.555693418823
7350.0,11967.62024136215,-4617.62024136215
