variavel,coeficiente,erro_padrao,t,p_value,intervalo_95_inf,intervalo_95_sup,feature,correlacao_raw,correlacao_log,possivel_vazamento_target
constante,6.422498464557741,0.17940708273360934,35.79846663074121,0.0,6.069367448469795,6.775629480645686,,,,
item__valorTotalReferencia,-8.429880166712519e-07,6.573647882462774e-07,-1.2823747662544893,0.2007532696487455,-2.1368939878113616e-06,4.5091795446885794e-07,item__valorTotalReferencia,0.8230256924246367,0.16334492592503475,True
agg__itensVencedores__valorTotalReferencia__mean,3.892506780434088e-05,6.705193513983373e-06,5.805211694959204,1.711554342698207e-08,2.572708385308815e-05,5.2123051755593615e-05,agg__itensVencedores__valorTotalReferencia__mean,0.7945859031277894,0.15197736208823334,True
agg__itensVencedores__valorTotalReferencia__min,-1.3889619493689855e-05,1.0413046795914815e-05,-1.3338670003037871,0.1833123918428079,-3.43858548684812e-05,6.606615881101483e-06,agg__itensVencedores__valorTotalReferencia__min,0.7614915774326271,0.12163678957940768,True
agg__contratos__valor__min,6.348631122664738e-05,3.233557175672298e-05,1.9633582391642035,0.050576721497005206,-1.6052554395642852e-07,0.0001271331479972512,agg__contratos__valor__min,0.750431289419867,0.13970947866287872,False
agg__contratos__valor__mean,-9.760453119459942e-05,5.162842116833021e-05,-1.8905193880782813,0.059702871917244105,-0.00019922591953889244,4.0168571496936e-06,agg__contratos__valor__mean,0.7452782421993683,0.1521262090796326,False
agg__contratos__valor__max,3.0191494152679977e-05,1.8603492508512114e-05,1.6228938807519997,0.10571767197717996,-6.4261806470934745e-06,6.680916895245343e-05,agg__contratos__valor__max,0.7136650919009441,0.17124998063837713,False
agg__itensVencedores__valorTotalReferencia__max,-3.3971132032070376e-07,5.408797203125287e-07,-0.628071838456826,0.5304598338320741,-1.40433709933152e-06,7.249144586901127e-07,agg__itensVencedores__valorTotalReferencia__max,0.6874366392797127,0.21808314926798322,True
agg__contratos__valor__sum,4.860437702081597e-06,3.286508133462439e-06,1.4789063360573442,0.14026974183172003,-1.6084705420491195e-06,1.1329345946212313e-05,agg__contratos__valor__sum,0.6407495802763228,0.1864439480145088,False
agg__participantes__itensProposta__valorTotal__max,1.3958485233137567e-06,8.249552272074612e-07,1.692029430541115,0.09173332614833507,-2.2792949688509842e-07,3.0196265435126117e-06,agg__participantes__itensProposta__valorTotal__max,0.549959817604814,0.12011535675570473,True
item__valorUnitarioVencedor,0.0017595919049001132,0.0005763172345693734,3.0531655125928823,0.0024782534247369536,0.0006252136655824092,0.0028939701442178174,item__valorUnitarioVencedor,0.5378349049636091,0.11906127772277328,True
agg__participantes__itensProposta__valorTotal__mean,3.360206794637216e-06,4.277207341023665e-06,0.785607646935586,0.43275000827491983,-5.058717092538562e-06,1.1779130681812993e-05,agg__participantes__itensProposta__valorTotal__mean,0.5344343261587876,0.08524569350470204,True
agg__itensVencedores__valorUnitarioVencedor__mean,-0.00033016500580630243,0.0003105883765025729,-1.0630307853892509,0.2886678780801486,-0.0009415031275142041,0.00028117311590159915,agg__itensVencedores__valorUnitarioVencedor__mean,0.5331561594010846,0.1181372933769408,True
agg__itensVencedores__valorUnitarioVencedor__min,-0.0017444523392868277,0.0005137852097000717,-3.3952949722028256,0.0007829436506705534,-0.0027557473806411525,-0.0007331572979325028,agg__itensVencedores__valorUnitarioVencedor__min,0.5308378574157161,0.11358991286100724,True
item__valorUnitarioReferencia,-0.0006875336055704959,0.0003546169929396421,-1.9388061465162731,0.053512000256795034,-0.0013855342481915475,1.0467037050555556e-05,item__valorUnitarioReferencia,0.5141423485206679,0.1275216530086697,True
agg__itensVencedores__valorUnitarioReferencia__mean,0.00017703078592880728,0.00019045946985952748,0.9294932200503107,0.3534201293911199,-0.00019785489355650236,0.0005519164654141169,agg__itensVencedores__valorUnitarioReferencia__mean,0.5129938103221073,0.12661938631049513,True
agg__itensVencedores__valorUnitarioVencedor__max,2.3219133667482857e-05,5.1549314367880534e-05,0.45042565458349315,0.6527460020809033,-7.824654697343181e-05,0.00012468481430839753,agg__itensVencedores__valorUnitarioVencedor__max,0.5126231142616221,0.11702283149970417,True
agg__itensVencedores__valorUnitarioReferencia__min,0.0007274302383377145,0.00034218014482770563,2.1258692222016267,0.03437381850401766,5.390932496581835e-05,0.0014009511517096107,agg__itensVencedores__valorUnitarioReferencia__min,0.5119960667706875,0.12416092586204872,True
agg__itensVencedores__valorUnitarioReferencia__max,-3.764514517162523e-05,5.374268699614572e-05,-0.7004700969701243,0.4842052103424388,-0.00014342809073361802,6.813780039036756e-05,agg__itensVencedores__valorUnitarioReferencia__max,0.5097898836779511,0.12662104450160722,True
agg__participantes__itensProposta__valorUnitario__mean,2.1643936444146093e-05,2.2727937367613733e-05,0.9523053541579936,0.34174908070846,-2.3091976396741264e-05,6.637984928503345e-05,agg__participantes__itensProposta__valorUnitario__mean,0.5046812969355448,0.11416125038139953,True
agg__participantes__itensProposta__valorUnitario__max,7.377383770533046e-06,1.7433313662037425e-05,0.423177366824871,0.6724850068500907,-2.6937001556138603e-05,4.1691769097204696e-05,agg__participantes__itensProposta__valorUnitario__max,0.5041141250657655,0.11263737487577151,True
