conjunto,valor_real,valor_previsto,residuo
teste,152298.7,2764.1865234620473,149534.51347653798
teste,840.0,687.4950943906068,152.50490560939318
teste,11695.07,101409097.86137709,-101397402.7913771
teste,230.32,460.52117028751906,-230.20117028751906
teste,4063.6,562.1164093206045,3501.4835906793955
teste,2400.0,849.9760700305326,1550.0239299694674
teste,3482.59,1582.0088736927803,1900.5811263072198
teste,46506.6,1179366980.2523663,-1179320473.6523664
teste,35.52,458.3140872242766,-422.7940872242766
teste,4949.73,579.528949645506,4370.201050354493
teste,3690.0,595.4896596004123,3094.5103403995877
teste,210.0,954.4167110335801,-744.4167110335801
teste,102.16,722.3497058800888,-620.1897058800888
teste,3530.95,1037.9065485596138,2493.043451440386
teste,17163.65,27517.454658511066,-10353.804658511064
teste,78936.81,1723.2538653661568,77213.55613463384
teste,32973.46,1567.8843802168778,31405.57561978312
teste,259.0,556.6522470989983,-297.65224709899826
teste,1365.0,910.4670820090537,454.5329179909463
teste,46.8,771.0804870810583,-724.2804870810584
teste,3915.66,1365.1348457404729,2550.525154259527
teste,1240.0,4510.775890744996,-3270.775890744996
teste,149.15,541.1591582559964,-392.00915825599645
teste,160.0,586.3365294916315,-426.3365294916315
teste,195.12,468.1457650601681,-273.0257650601681
teste,387.64,532.3211665180178,-144.6811665180178
teste,126.7,945.9890849631895,-819.2890849631895
teste,250.2,489.4364930116215,-239.23649301162152
teste,262.0,601.7167239804971,-339.71672398049714
teste,369.76,512.4106151280386,-142.65061512803857
teste,69.0,544.6672508284653,-475.6672508284653
teste,127.04,451.13134106539906,-324.09134106539904
teste,692.85,592.6203254775303,100.22967452246974
teste,311.27,810.0213726316169,-498.75137263161696
teste,21869.16,1140.9386327969828,20728.221367203016
teste,88.79,533.0278113270828,-444.23781132708274
teste,16447.5,798.4532863581582,15649.046713641841
teste,1050.0,551.5057454178922,498.4942545821078
teste,153.86,485.8010700800293,-331.9410700800293
teste,1355.67,803.6573419960811,552.012658003919
teste,5848.0,904.9027053015733,4943.097294698427
teste,56.9,518.2976664756774,-461.3976664756774
teste,19000.0,100510.72838490497,-81510.72838490497
teste,670.05,947.4908881948495,-277.44088819484955
teste,17681.44,64383.528388682535,-46702.08838868253
teste,494.53,798.1607023827432,-303.63070238274327
teste,382.5,726.8569460265545,-344.3569460265545
teste,1513.8,713.9567947638968,799.8432052361031
teste,5512.5,545.7414180105037,4966.758581989497
teste,440.0,1181.3902524174216,-741.3902524174216
teste,260.0,727.0010683491241,-467.0010683491241
teste,2580.0,522.0437308330138,2057.956269166986
teste,1740.0,445.7725439084895,1294.2274560915105
teste,2800.0,568.2812281890142,2231.718771810986
teste,150.0,575.7947351286622,-425.7947351286622
teste,751.44,623.2209820149795,128.2190179850205
teste,8096.0,710.4142935803723,7385.585706419628
teste,6180.0,556.6250181822443,5623.374981817756
teste,12750.0,10441.34375107775,2308.6562489222506
teste,5698.5,661.1576583643374,5037.342341635663
teste,146.35,530.5805845720878,-384.23058457208776
teste,408.48,694.777626862945,-286.297626862945
teste,450.0,609.3517772017639,-159.35177720176387
teste,55200.0,11252.209473486459,43947.79052651354
teste,66.06,493.54460320933345,-427.48460320933344
teste,342.0,433.56935627286975,-91.56935627286975
teste,1170.75,1593.9666056244382,-423.2166056244382
teste,66.6,852.3818023699605,-785.7818023699605
teste,1594.0,514.4161729088065,1079.5838270911936
teste,1875.0,718.9682003092727,1156.0317996907274
teste,40.0,536.0443702504144,-496.04437025041443
teste,2095.0,547.7626358507327,1547.2373641492673
teste,1170.0,653.7009124830395,516.2990875169605
teste,31.84,449.58256408241584,-417.74256408241587
teste,167.4,593.3698254734619,-425.9698254734619
teste,1280.0,740.478606506508,539.521393493492
teste,19.8,456.7184749677067,-436.9184749677067
