feature,correlacao_raw,correlacao_log,tipo,coluna_origem,correlacao_usada,abs_correlacao_usada,possivel_vazamento_target
agg__itensVencedores__valorTotalVencedor__sum,0.9999989915990944,0.37468619304130124,numerica,agg__itensVencedores__valorTotalVencedor__sum,0.9999989915990944,0.9999989915990944,True
proc__valorEstimado,0.9789925621110032,0.40338365138257604,numerica,proc__valorEstimado,0.9789925621110032,0.9789925621110032,False
agg__itensVencedores__valorTotalReferencia__max,0.9516119668158861,0.3167968861132916,numerica,agg__itensVencedores__valorTotalReferencia__max,0.9516119668158861,0.9516119668158861,True
agg__itensVencedores__valorTotalVencedor__max,0.9476892927671506,0.2932811610354515,numerica,agg__itensVencedores__valorTotalVencedor__max,0.9476892927671506,0.9476892927671506,True
agg__itensVencedores__valorTotalReferencia__mean,0.9010686625128353,0.2799929715114472,numerica,agg__itensVencedores__valorTotalReferencia__mean,0.9010686625128353,0.9010686625128353,True
agg__itensVencedores__valorTotalVencedor__mean,0.8935680497156817,0.255550511618641,numerica,agg__itensVencedores__valorTotalVencedor__mean,0.8935680497156817,0.8935680497156817,True
agg__contratos__valor__sum,0.8612640508741143,0.2557809770121521,numerica,agg__contratos__valor__sum,0.8612640508741143,0.8612640508741143,False
agg__contratos__valor__max,0.8563487329750538,0.24447292952652325,numerica,agg__contratos__valor__max,0.8563487329750538,0.8563487329750538,False
agg__contratos__valor__mean,0.8508791955222588,0.23708402726230104,numerica,agg__contratos__valor__mean,0.8508791955222588,0.8508791955222588,False
agg__contratos__valor__min,0.8483067892494437,0.2333380319537129,numerica,agg__contratos__valor__min,0.8483067892494437,0.8483067892494437,False
agg__itensVencedores__valorTotalReferencia__min,0.8447862169659637,0.2550932573944027,numerica,agg__itensVencedores__valorTotalReferencia__min,0.8447862169659637,0.8447862169659637,True
agg__itensVencedores__valorTotalVencedor__min,0.8399460664441829,0.23146587330359092,numerica,agg__itensVencedores__valorTotalVencedor__min,0.8399460664441829,0.8399460664441829,True
agg__participantes__itensProposta__valorTotal__sum,0.5279794276795043,0.18975265894725069,numerica,agg__participantes__itensProposta__valorTotal__sum,0.5279794276795043,0.5279794276795043,True
agg__participantes__itensProposta__valorTotal__max,0.4743024430268332,0.15855726812513196,numerica,agg__participantes__itensProposta__valorTotal__max,0.4743024430268332,0.4743024430268332,True
agg__participantes__itensProposta__valorTotal__mean,0.4389792155812108,0.14144897085710667,numerica,agg__participantes__itensProposta__valorTotal__mean,0.4389792155812108,0.4389792155812108,True
agg__itensVencedores__valorTotalReferencia__sum,0.38878931539224243,0.19298847306327532,numerica,agg__itensVencedores__valorTotalReferencia__sum,0.38878931539224243,0.38878931539224243,True
agg__itensVencedores__valorUnitarioVencedor__sum,0.3203900440878318,0.28843309014379004,numerica,agg__itensVencedores__valorUnitarioVencedor__sum,0.3203900440878318,0.3203900440878318,True
agg__itensVencedores__valorUnitarioVencedor__max,0.3143242970913222,0.2815417608063305,numerica,agg__itensVencedores__valorUnitarioVencedor__max,0.3143242970913222,0.3143242970913222,True
agg__itensVencedores__valorUnitarioReferencia__max,0.3117494289694782,0.28570856313573045,numerica,agg__itensVencedores__valorUnitarioReferencia__max,0.3117494289694782,0.3117494289694782,True
agg__itensVencedores__valorUnitarioReferencia__mean,0.3076658027103596,0.280499608975548,numerica,agg__itensVencedores__valorUnitarioReferencia__mean,0.3076658027103596,0.3076658027103596,True
dias_criacao_ate_homologacao,0.3076401520689341,0.2838751667305371,numerica,dias_criacao_ate_homologacao,0.3076401520689341,0.3076401520689341,False
agg__itensVencedores__valorUnitarioReferencia__min,0.3060084157057743,0.2785531796080299,numerica,agg__itensVencedores__valorUnitarioReferencia__min,0.3060084157057743,0.3060084157057743,True
agg__participantes__itensProposta__valorUnitario__max,0.30362162803173726,0.272336609609474,numerica,agg__participantes__itensProposta__valorUnitario__max,0.30362162803173726,0.30362162803173726,True
agg__participantes__itensProposta__valorUnitario__mean,0.3023823127503465,0.27108060861854877,numerica,agg__participantes__itensProposta__valorUnitario__mean,0.3023823127503465,0.3023823127503465,True
agg__itensVencedores__valorUnitarioVencedor__mean,0.29993298432891097,0.2743096242287289,numerica,agg__itensVencedores__valorUnitarioVencedor__mean,0.29993298432891097,0.29993298432891097,True
agg__participantes__itensProposta__valorUnitario__sum,0.2965509639289915,0.26503941989457447,numerica,agg__participantes__itensProposta__valorUnitario__sum,0.2965509639289915,0.2965509639289915,True
agg__itensVencedores__valorUnitarioVencedor__min,0.29380206944296094,0.2702797571761357,numerica,agg__itensVencedores__valorUnitarioVencedor__min,0.29380206944296094,0.29380206944296094,True
proc__modalidade_Outras Modalidades,0.28117618984460424,-0.01721263782488192,one_hot,proc__modalidade,0.28117618984460424,0.28117618984460424,False
agg__itensVencedores__valorUnitarioReferencia__sum,0.27485439144704765,0.22202107697959733,numerica,agg__itensVencedores__valorUnitarioReferencia__sum,0.27485439144704765,0.27485439144704765,True
proc__dataAberturaEnvelopes__year__missing,0.2315664861407071,-0.03896439961772333,missing_indicator,proc__dataAberturaEnvelopes__year,0.2315664861407071,0.2315664861407071,False
proc__dataAberturaEnvelopes__month__missing,0.2315664861407071,-0.03896439961772333,missing_indicator,proc__dataAberturaEnvelopes__month,0.2315664861407071,0.2315664861407071,False
proc__dataAberturaEnvelopes__quarter__missing,0.2315664861407071,-0.03896439961772333,missing_indicator,proc__dataAberturaEnvelopes__quarter,0.2315664861407071,0.2315664861407071,False
proc__dataAberturaEnvelopes__dayofweek__missing,0.2315664861407071,-0.03896439961772333,missing_indicator,proc__dataAberturaEnvelopes__dayofweek,0.2315664861407071,0.2315664861407071,False
proc__inicioRecebimentoEnvelopes__dayofweek__missing,0.2315664861407071,-0.03896439961772333,missing_indicator,proc__inicioRecebimentoEnvelopes__dayofweek,0.2315664861407071,0.2315664861407071,False
proc__inicioRecebimentoEnvelopes__month__missing,0.2315664861407071,-0.03896439961772333,missing_indicator,proc__inicioRecebimentoEnvelopes__month,0.2315664861407071,0.2315664861407071,False
proc__inicioRecebimentoEnvelopes__quarter__missing,0.2315664861407071,-0.03896439961772333,missing_indicator,proc__inicioRecebimentoEnvelopes__quarter,0.2315664861407071,0.2315664861407071,False
proc__dataAberturaEnvelopes__ordinal__missing,0.2315664861407071,-0.03896439961772333,missing_indicator,proc__dataAberturaEnvelopes__ordinal,0.2315664861407071,0.2315664861407071,False
proc__inicioRecebimentoEnvelopes__ordinal__missing,0.2315664861407071,-0.03896439961772333,missing_indicator,proc__inicioRecebimentoEnvelopes__ordinal,0.2315664861407071,0.2315664861407071,False
proc__inicioRecebimentoEnvelopes__year__missing,0.2315664861407071,-0.03896439961772333,missing_indicator,proc__inicioRecebimentoEnvelopes__year,0.2315664861407071,0.2315664861407071,False
dias_recebimento_envelopes__missing,0.22768434383426608,-0.03599607758060677,missing_indicator,dias_recebimento_envelopes,0.22768434383426608,0.22768434383426608,False
proc__terminoRecebimentoEnvelopes__year__missing,0.22768434383426608,-0.03599607758060677,missing_indicator,proc__terminoRecebimentoEnvelopes__year,0.22768434383426608,0.22768434383426608,False
proc__terminoRecebimentoEnvelopes__dayofweek__missing,0.22768434383426608,-0.03599607758060677,missing_indicator,proc__terminoRecebimentoEnvelopes__dayofweek,0.22768434383426608,0.22768434383426608,False
proc__terminoRecebimentoEnvelopes__quarter__missing,0.22768434383426608,-0.03599607758060677,missing_indicator,proc__terminoRecebimentoEnvelopes__quarter,0.22768434383426608,0.22768434383426608,False
proc__terminoRecebimentoEnvelopes__ordinal__missing,0.22768434383426608,-0.03599607758060677,missing_indicator,proc__terminoRecebimentoEnvelopes__ordinal,0.22768434383426608,0.22768434383426608,False
proc__terminoRecebimentoEnvelopes__month__missing,0.22768434383426608,-0.03599607758060677,missing_indicator,proc__terminoRecebimentoEnvelopes__month,0.22768434383426608,0.22768434383426608,False
proc__dataJulgamento__ordinal__missing,0.22726159098804213,-0.06020008336431203,missing_indicator,proc__dataJulgamento__ordinal,0.22726159098804213,0.22726159098804213,False
proc__dataJulgamento__quarter__missing,0.22726159098804213,-0.06020008336431203,missing_indicator,proc__dataJulgamento__quarter,0.22726159098804213,0.22726159098804213,False
proc__dataJulgamento__dayofweek__missing,0.22726159098804213,-0.06020008336431203,missing_indicator,proc__dataJulgamento__dayofweek,0.22726159098804213,0.22726159098804213,False
dias_criacao_ate_julgamento__missing,0.22726159098804213,-0.06020008336431203,missing_indicator,dias_criacao_ate_julgamento,0.22726159098804213,0.22726159098804213,False
proc__dataJulgamento__year__missing,0.22726159098804213,-0.06020008336431203,missing_indicator,proc__dataJulgamento__year,0.22726159098804213,0.22726159098804213,False
proc__dataJulgamento__month__missing,0.22726159098804213,-0.06020008336431203,missing_indicator,proc__dataJulgamento__month,0.22726159098804213,0.22726159098804213,False
proc__formaContratacao_Chamada pública / credenciamento,0.22275394453706096,-0.08848606984214435,one_hot,proc__formaContratacao,0.22275394453706096,0.22275394453706096,False
dias_abertura_ate_homologacao__missing,0.2157469522344644,-0.037847520254752694,missing_indicator,dias_abertura_ate_homologacao,0.2157469522344644,0.2157469522344644,False
proc__formaContratacao_Licitação,-0.20786095748831007,0.07898285724601066,one_hot,proc__formaContratacao,-0.20786095748831007,0.20786095748831007,False
agg__empenhos__valor__sum,0.17538309821630244,0.22240387538880965,numerica,agg__empenhos__valor__sum,0.17538309821630244,0.17538309821630244,False
agg__itensVencedores__quantidade__max,0.1589184256378813,0.21840906246517505,numerica,agg__itensVencedores__quantidade__max,0.1589184256378813,0.1589184256378813,True
proc__nomeEntidade_infrequent_sklearn,0.15835475253104847,0.0862457623337632,one_hot,proc__nomeEntidade,0.15835475253104847,0.15835475253104847,False
proc__enderecoEntrega_infrequent_sklearn,0.15835475253104847,0.0862457623337632,one_hot,proc__enderecoEntrega,0.15835475253104847,0.15835475253104847,False
proc__enderecoCertame_infrequent_sklearn,0.15835475253104847,0.0862457623337632,one_hot,proc__enderecoCertame,0.15835475253104847,0.15835475253104847,False
agg__itensVencedores__quantidade__sum,0.15688307852532377,0.16268268600610153,numerica,agg__itensVencedores__quantidade__sum,0.15688307852532377,0.15688307852532377,True
dias_criacao_ate_julgamento,0.1468395425616759,0.167925550509338,numerica,dias_criacao_ate_julgamento,0.1468395425616759,0.1468395425616759,False
dias_recebimento_envelopes,0.14359643509089282,0.14493314462521859,numerica,dias_recebimento_envelopes,0.14359643509089282,0.14359643509089282,False
agg__participantes__formaParticipacao__nunique,0.1352173189343435,0.05620223580718621,numerica,agg__participantes__formaParticipacao__nunique,0.1352173189343435,0.1352173189343435,False
agg__participantes__itensProposta__quantidade__max,0.12543075018252375,0.18358562855361613,numerica,agg__participantes__itensProposta__quantidade__max,0.12543075018252375,0.12543075018252375,False
agg__itensVencedores__cnpjCpfVencedor__nunique,0.12531838904979037,0.2570621718131248,numerica,agg__itensVencedores__cnpjCpfVencedor__nunique,0.12531838904979037,0.12531838904979037,True
proc__modalidade_Concorrência,0.12502933551807424,0.11193524674443742,one_hot,proc__modalidade,0.12502933551807424,0.12502933551807424,False
agg__itensVencedores__participanteVencedor__nunique,0.12486278095257412,0.25709445605110165,numerica,agg__itensVencedores__participanteVencedor__nunique,0.12486278095257412,0.12486278095257412,True
agg__despesas__fonteRecurso__nunique,0.11412981096071831,0.2099287352286502,numerica,agg__despesas__fonteRecurso__nunique,0.11412981096071831,0.11412981096071831,False
agg__participantes__itensProposta__quantidade__sum,0.11273988680829526,0.12039449980705749,numerica,agg__participantes__itensProposta__quantidade__sum,0.11273988680829526,0.11273988680829526,False
agg__participantes__itensProposta__situacao__desclassificado__count,0.10713318462818087,0.15872781486133214,numerica,agg__participantes__itensProposta__situacao__desclassificado__count,0.10713318462818087,0.10713318462818087,False
agg__empenhos__nomeCredor__nunique,0.09995287481842301,0.16887016122535495,numerica,agg__empenhos__nomeCredor__nunique,0.09995287481842301,0.09995287481842301,False
agg__itensVencedores__codigo__nunique,0.09939184523900968,0.1940917203377543,numerica,agg__itensVencedores__codigo__nunique,0.09939184523900968,0.09939184523900968,True
agg__empenhos__numero__sum,0.09925693719583953,0.1890392331500926,numerica,agg__empenhos__numero__sum,0.09925693719583953,0.09925693719583953,False
agg__itensVencedores__descricao__nunique,0.09922720440413232,0.19379080925987205,numerica,agg__itensVencedores__descricao__nunique,0.09922720440413232,0.09922720440413232,True
agg__empenhos__numero__nunique,0.09841154763818062,0.18551686660464017,numerica,agg__empenhos__numero__nunique,0.09841154763818062,0.09841154763818062,False
agg__empenhos__ano__sum,0.09825343806007795,0.18534850932289731,numerica,agg__empenhos__ano__sum,0.09825343806007795,0.09825343806007795,False
agg__participantes__count,0.09807678906793117,0.27065773742543464,numerica,agg__participantes__count,0.09807678906793117,0.09807678906793117,False
agg__participantes__cnpjCpfFornecedor__nunique,0.09804676633365211,0.26955807816033606,numerica,agg__participantes__cnpjCpfFornecedor__nunique,0.09804676633365211,0.09804676633365211,False
agg__participantes__nomeFonecedor__nunique,0.09763013853443304,0.2695479934146255,numerica,agg__participantes__nomeFonecedor__nunique,0.09763013853443304,0.09763013853443304,False
agg__empenhos__count,0.09627148400807994,0.19832522853173812,numerica,agg__empenhos__count,0.09627148400807994,0.09627148400807994,False
tfidf__proc__objeto__na,0.09425888376126841,0.022744634644278436,tfidf,proc__objeto,0.09425888376126841,0.09425888376126841,False
agg__empenhos__valor__max,0.08882444043308817,0.151182574727458,numerica,agg__empenhos__valor__max,0.08882444043308817,0.08882444043308817,False
agg__participantes__itensProposta__count,0.08862227803406189,0.17629960877689166,numerica,agg__participantes__itensProposta__count,0.08862227803406189,0.08862227803406189,False
proc__dataJulgamento__ordinal,0.08228424653816764,0.1847838668452579,numerica,proc__dataJulgamento__ordinal,0.08228424653816764,0.08228424653816764,False
proc__dataAberturaEnvelopes__ordinal,0.08227521747423508,0.18416718301982607,numerica,proc__dataAberturaEnvelopes__ordinal,0.08227521747423508,0.08227521747423508,False
proc__terminoRecebimentoEnvelopes__ordinal,0.08225433940099013,0.18476273272461086,numerica,proc__terminoRecebimentoEnvelopes__ordinal,0.08225433940099013,0.08225433940099013,False
agg__itensVencedores__codigo__sum,0.08208266196482134,0.12119223421539746,numerica,agg__itensVencedores__codigo__sum,0.08208266196482134,0.08208266196482134,True
dias_criacao_ate_publicacao,0.08119874940475051,0.12615877522320038,numerica,dias_criacao_ate_publicacao,0.08119874940475051,0.08119874940475051,False
agg__itensVencedores__numero__max,0.08020376167217551,0.17369665350879954,numerica,agg__itensVencedores__numero__max,0.08020376167217551,0.08020376167217551,True
agg__itensVencedores__numero__mean,0.07997582011147569,0.1732448049087185,numerica,agg__itensVencedores__numero__mean,0.07997582011147569,0.07997582011147569,True
proc__dataJulgamento__year,0.07957242221883687,0.1880990911598895,numerica,proc__dataJulgamento__year,0.07957242221883687,0.07957242221883687,False
proc__dataAberturaEnvelopes__year,0.07953813166479748,0.1871656372456139,numerica,proc__dataAberturaEnvelopes__year,0.07953813166479748,0.07953813166479748,False
agg__itensVencedores__count,0.07935047869498622,0.17030288338645183,numerica,agg__itensVencedores__count,0.07935047869498622,0.07935047869498622,True
proc__terminoRecebimentoEnvelopes__year,0.07930574428442788,0.18739991430391792,numerica,proc__terminoRecebimentoEnvelopes__year,0.07930574428442788,0.07930574428442788,False
agg__itensVencedores__numero__nunique,0.07829515232502315,0.1690271969410927,numerica,agg__itensVencedores__numero__nunique,0.07829515232502315,0.07829515232502315,True
agg__participantes__itensProposta__situacao__venceu__count,0.07734896185864061,0.1672541858930836,numerica,agg__participantes__itensProposta__situacao__venceu__count,0.07734896185864061,0.07734896185864061,False
agg__participantes__itensProposta__situacao__credenciado__count,0.07508796881071399,0.0949526713426507,numerica,agg__participantes__itensProposta__situacao__credenciado__count,0.07508796881071399,0.07508796881071399,False
proc__inicioRecebimentoEnvelopes__ordinal,0.07495003341952035,0.17807195175564589,numerica,proc__inicioRecebimentoEnvelopes__ordinal,0.07495003341952035,0.07495003341952035,False
proc__modalidade_Pregão presencial,-0.07477291392984431,-0.042510125730714235,one_hot,proc__modalidade,-0.07477291392984431,0.07477291392984431,False
proc__formaJulgamento_infrequent_sklearn,0.07316109636839747,-0.10390465506815248,one_hot,proc__formaJulgamento,0.07316109636839747,0.07316109636839747,False
proc__inicioRecebimentoEnvelopes__year,0.07192119484323234,0.18175340210335916,numerica,proc__inicioRecebimentoEnvelopes__year,0.07192119484323234,0.07192119484323234,False
agg__documentosRelacionados__count,0.07165224761468249,0.20228769694490548,numerica,agg__documentosRelacionados__count,0.07165224761468249,0.07165224761468249,False
tfidf__proc__objeto__presente,-0.07043805439533925,-0.07557888611216411,tfidf,proc__objeto,-0.07043805439533925,0.07043805439533925,False
dias_abertura_ate_homologacao,0.07036609573298132,0.06220980738404185,numerica,dias_abertura_ate_homologacao,0.07036609573298132,0.07036609573298132,False
proc__modalidade_Convite,-0.07036556002585412,-0.1451401570802552,one_hot,proc__modalidade,-0.07036556002585412,0.07036556002585412,False
agg__participantes__representanteCertame__nunique,0.07034841801125997,0.19985366783560676,numerica,agg__participantes__representanteCertame__nunique,0.07034841801125997,0.07034841801125997,False
agg__participantes__responsavelFornecedor__nunique,0.07031062494630984,0.19809766167260942,numerica,agg__participantes__responsavelFornecedor__nunique,0.07031062494630984,0.07031062494630984,False
"proc__fundamentoLegal_Lei 8666/1993, Art. 22, III",-0.0698218996985444,-0.14364402603036586,one_hot,proc__fundamentoLegal,-0.0698218996985444,0.0698218996985444,False
agg__itensVencedores__codigo__max,0.06842905092292448,0.16153725751962947,numerica,agg__itensVencedores__codigo__max,0.06842905092292448,0.06842905092292448,True
agg__participantes__itensProposta__quantidade__mean,0.06841544597225495,0.1429870235554296,numerica,agg__participantes__itensProposta__quantidade__mean,0.06841544597225495,0.06841544597225495,False
agg__itensVencedores__codigo__mean,0.06745918213505338,0.1227769192564025,numerica,agg__itensVencedores__codigo__mean,0.06745918213505338,0.06745918213505338,True
agg__despesas__subfuncao__sum,0.06638443224366374,0.19054779430479743,numerica,agg__despesas__subfuncao__sum,0.06638443224366374,0.06638443224366374,False
agg__participantes__itensProposta__situacao__perdeu__count,0.06542975058393376,0.13769348472691567,numerica,agg__participantes__itensProposta__situacao__perdeu__count,0.06542975058393376,0.06542975058393376,False
agg__itensVencedores__quantidade__mean,0.06517770490099487,0.141701423184072,numerica,agg__itensVencedores__quantidade__mean,0.06517770490099487,0.06517770490099487,True
