feature,correlacao_raw,correlacao_log,tipo,coluna_origem,correlacao_usada,abs_correlacao_usada,possivel_vazamento_target
item__valorTotalReferencia,0.8230256924246366,0.16334492592503475,numerica,item__valorTotalReferencia,0.8230256924246366,0.8230256924246366,True
agg__itensVencedores__valorTotalReferencia__mean,0.7945859031277892,0.15197736208823334,numerica,agg__itensVencedores__valorTotalReferencia__mean,0.7945859031277892,0.7945859031277892,True
agg__itensVencedores__valorTotalReferencia__min,0.761491577432627,0.12163678957940768,numerica,agg__itensVencedores__valorTotalReferencia__min,0.761491577432627,0.761491577432627,True
agg__contratos__valor__min,0.7504312894198669,0.13970947866287875,numerica,agg__contratos__valor__min,0.7504312894198669,0.7504312894198669,False
agg__contratos__valor__mean,0.7452782421993682,0.1521262090796326,numerica,agg__contratos__valor__mean,0.7452782421993682,0.7452782421993682,False
agg__contratos__valor__max,0.713665091900944,0.17124998063837715,numerica,agg__contratos__valor__max,0.713665091900944,0.713665091900944,False
agg__itensVencedores__valorTotalReferencia__max,0.6874366392797125,0.21808314926798325,numerica,agg__itensVencedores__valorTotalReferencia__max,0.6874366392797125,0.6874366392797125,True
agg__contratos__valor__sum,0.6407495802763227,0.18644394801450878,numerica,agg__contratos__valor__sum,0.6407495802763227,0.6407495802763227,False
agg__participantes__itensProposta__valorTotal__max,0.5499598176048139,0.12011535675570469,numerica,agg__participantes__itensProposta__valorTotal__max,0.5499598176048139,0.5499598176048139,True
item__valorUnitarioVencedor,0.537834904963609,0.11906127772277328,numerica,item__valorUnitarioVencedor,0.537834904963609,0.537834904963609,True
agg__participantes__itensProposta__valorTotal__mean,0.5344343261587875,0.08524569350470204,numerica,agg__participantes__itensProposta__valorTotal__mean,0.5344343261587875,0.5344343261587875,True
agg__itensVencedores__valorUnitarioVencedor__mean,0.5331561594010846,0.11813729337694084,numerica,agg__itensVencedores__valorUnitarioVencedor__mean,0.5331561594010846,0.5331561594010846,True
agg__itensVencedores__valorUnitarioVencedor__min,0.530837857415716,0.11358991286100723,numerica,agg__itensVencedores__valorUnitarioVencedor__min,0.530837857415716,0.530837857415716,True
item__valorUnitarioReferencia,0.5141423485206678,0.12752165300866972,numerica,item__valorUnitarioReferencia,0.5141423485206678,0.5141423485206678,True
agg__itensVencedores__valorUnitarioReferencia__mean,0.5129938103221073,0.1266193863104951,numerica,agg__itensVencedores__valorUnitarioReferencia__mean,0.5129938103221073,0.5129938103221073,True
agg__itensVencedores__valorUnitarioVencedor__max,0.512623114261622,0.11702283149970419,numerica,agg__itensVencedores__valorUnitarioVencedor__max,0.512623114261622,0.512623114261622,True
agg__itensVencedores__valorUnitarioReferencia__min,0.5119960667706875,0.12416092586204872,numerica,agg__itensVencedores__valorUnitarioReferencia__min,0.5119960667706875,0.5119960667706875,True
agg__itensVencedores__valorUnitarioReferencia__max,0.509789883677951,0.12662104450160727,numerica,agg__itensVencedores__valorUnitarioReferencia__max,0.509789883677951,0.509789883677951,True
agg__participantes__itensProposta__valorUnitario__mean,0.5046812969355446,0.11416125038139953,numerica,agg__participantes__itensProposta__valorUnitario__mean,0.5046812969355446,0.5046812969355446,True
agg__participantes__itensProposta__valorUnitario__max,0.5041141250657655,0.11263737487577151,numerica,agg__participantes__itensProposta__valorUnitario__max,0.5041141250657655,0.5041141250657655,True
agg__participantes__itensProposta__valorTotal__sum,0.24890572380368198,0.03346031845914836,numerica,agg__participantes__itensProposta__valorTotal__sum,0.24890572380368198,0.24890572380368198,True
agg__itensVencedores__valorUnitarioVencedor__sum,0.22308493410876698,-0.14828810258321007,numerica,agg__itensVencedores__valorUnitarioVencedor__sum,0.22308493410876698,0.22308493410876698,True
proc__valorHomologado,0.21084592922236492,0.23828847163633576,numerica,proc__valorHomologado,0.21084592922236492,0.21084592922236492,True
agg__participantes__itensProposta__valorUnitario__sum,0.2024642397223286,-0.14950858435989614,numerica,agg__participantes__itensProposta__valorUnitario__sum,0.2024642397223286,0.2024642397223286,True
proc__valorEstimado,0.1450166074462052,0.2261963773918919,numerica,proc__valorEstimado,0.1450166074462052,0.1450166074462052,False
agg__participantes__formaParticipacao__nunique,0.1368209826373671,0.013668707950987924,numerica,agg__participantes__formaParticipacao__nunique,0.1368209826373671,0.1368209826373671,False
agg__itensVencedores__valorUnitarioReferencia__sum,0.13226328652358058,-0.08343046967491248,numerica,agg__itensVencedores__valorUnitarioReferencia__sum,0.13226328652358058,0.13226328652358058,True
proc__modalidade_Concorrência,0.12617946188113743,0.020092974811739175,one_hot,proc__modalidade,0.12617946188113743,0.12617946188113743,False
proc__formaJulgamento_MENOR PREÇO MENSAL,0.11977751503846543,0.02925918483069483,one_hot,proc__formaJulgamento,0.11977751503846543,0.11977751503846543,False
proc__enderecoEntrega_Rua Domênico Sonego,0.10171171975924989,0.05618350102999114,one_hot,proc__enderecoEntrega,0.10171171975924989,0.10171171975924989,False
proc__enderecoCertame_Rua Domênico Sonego,0.10171171975924989,0.05618350102999114,one_hot,proc__enderecoCertame,0.10171171975924989,0.10171171975924989,False
agg__itensVencedores__codigo__min,0.09770221577724958,0.197160978328633,numerica,agg__itensVencedores__codigo__min,0.09770221577724958,0.09770221577724958,True
proc__tipoObjeto_Obras e Serviços de Engenharia,0.09326410752681649,0.16572370598418798,one_hot,proc__tipoObjeto,0.09326410752681649,0.09326410752681649,False
proc__formaContratacao_Concorrência,0.08713871608750505,-0.014336740069088623,one_hot,proc__formaContratacao,0.08713871608750505,0.08713871608750505,False
proc__nomeEntidade_infrequent_sklearn,0.08558650765268135,0.026988929809889806,one_hot,proc__nomeEntidade,0.08558650765268135,0.08558650765268135,False
