serie,registros,media,mediana,desvio_padrao,assimetria_skew,curtose,min,q1,q3,iqr,limite_inferior_iqr,limite_superior_iqr,max,outliers_iqr,outliers_iqr_pct,metodo,parametros,shapiro_w_mediano,shapiro_p_value_mediano,shapiro_p_value_min,shapiro_p_value_max,amostras_normais,amostras_testadas,normalidade_aprovada_p_mediano_maior_que_alpha
log1p,110675,6.960023182710442,6.7974938847246,2.252927271107014,0.3121581026724619,0.3630472232186097,0.0,5.424156747499712,8.371242135931933,2.947085388432221,1.0035286648513804,12.791870218580264,18.82901374239559,1501,0.013562231759656653,Aplica log(1 + x). Reduz a cauda de valores monetarios muito altos.,"{""offset"": 0.0}",0.9922099175719474,1.7688374187541776e-08,2.5558265394669247e-14,1.410490891402483e-06,0,10,False
boxcox,110675,8.18664924453039,7.859401430085129,3.2037591385780333,0.1352068303704267,3.1339629288481325,-10.496608787551002,6.082350607204901,10.02137748296049,3.939026875755589,0.17381029357151778,15.929917796593873,28.627075927011365,2146,0.019390106166704314,Transformacao Box-Cox; escolhe lambda para aproximar normalidade.,"{""offset"": 1e-06, ""lambda"": 0.041776408541304905}",0.9574393115186488,1.0210774946235334e-23,2.454558787255157e-28,2.089642793753905e-21,0,10,False
iqr_boxcox,110675,11.85585839389625,11.380676972014403,4.840854933309662,-0.0380769649873998,-0.7091903982185674,-6.09295304169079,8.126406049570596,15.96340613314148,7.837000083570883,-3.629094075785728,27.718906258497803,19.018842329611655,268,0.002421504404788796,"Primeiro trata outliers por IQR, depois aplica Box-Cox.","{""offset"": 1e-06, ""lambda"": 0.14059514696422248, ""limite_inferior"": -5915.45, ""limite_superior"": 10461.27}",0.9508848518723153,2.368349569345225e-25,3.820057635019872e-26,2.3336980223365552e-24,0,10,False
iqr_log1p,110675,6.747779616348667,6.7974938847246,1.8818182621467,-0.4223943563709641,-0.3487945477035992,0.0,5.424156747499712,8.371242135931933,2.947085388432221,1.0035286648513804,12.791870218580264,9.2555307312825,450,0.0040659588886379034,"Primeiro trata outliers por IQR, depois aplica log(1 + x).","{""offset"": 0.0, ""limite_inferior"": -5915.45, ""limite_superior"": 10461.27}",0.9496706089013358,1.2262880342019484e-25,7.598479616409515e-27,1.3350092462161888e-24,0,10,False
iqr_sqrt,110675,42.482933942843175,29.909864593474843,33.618546776234695,0.7470176864167641,-0.87959457954579,0.0,15.027308460172414,65.72670690061993,50.69939844044752,-61.021789200498866,141.7758045612912,102.28035001895526,0,0.0,"Primeiro trata outliers por IQR, depois aplica raiz quadrada.","{""offset"": 0.0, ""limite_inferior"": -5915.45, ""limite_superior"": 10461.27}",0.8521447280869897,9.316763411312979e-40,1.7300645823451398e-40,2.6108317801128686e-39,0,10,False
iqr_winsorizado,110675,2934.9961517957986,894.6,3796.5133960067114,1.1924159620287607,-0.21943308865299738,0.0,225.82,4320.0,4094.18,-5915.45,10461.27,10461.27,0,0.0,Substitui outliers pelos limites Q1 - 1.5*IQR e Q3 + 1.5*IQR.,"{""q1"": 225.82, ""q3"": 4320.0, ""iqr"": 4094.18, ""limite_inferior"": -5915.45, ""limite_superior"": 10461.27}",0.7146426947084539,5.822963198288271e-50,5.865234825227187e-51,9.822838188030627e-50,0,10,False
sqrt,110675,67.42869973028877,29.909864593474843,160.2081314823066,16.979113712329063,611.1102125163728,0.0,15.027308460172414,65.72670690061993,50.69939844044752,-61.021789200498866,141.7758045612912,12265.023440662477,11344,0.10249830585046307,Aplica raiz quadrada. Reduz dispersao de forma mais suave que log.,"{""offset"": 0.0}",0.3717606842679823,1.55907256851578e-63,2.993024939279377e-67,2.016745990412509e-59,0,10,False
original,110675,30213.043030313984,894.6,650521.5532172496,131.31327473137097,26840.207745612075,0.0,225.82,4320.0,4094.18,-5915.45,10461.27,150430800.0,17335,0.15662977185452903,Sem transformacao.,{},0.03715621266593644,4.987609403807426e-72,2.283134645730413e-72,7.024992965884908e-70,0,10,False
