variavel,coeficiente,erro_padrao,t,p_value,intervalo_95_inf,intervalo_95_sup,feature,correlacao_raw,correlacao_log,possivel_vazamento_target
constante,14650.633591386862,11732.994758066001,1.2486695761382738,0.2127562482654355,-8438.451434705808,37739.718617479535,,,,
agg__contratos__valor__min,-0.41626466982184507,2.250351602251996,-0.18497761390054612,0.8533711684380412,-4.84467877503404,4.0121494353903495,agg__contratos__valor__min,0.750431289419867,0.13970947866287872,False
agg__contratos__valor__mean,0.6435355244279987,3.651385117981222,0.17624422065448866,0.8602205990851757,-6.54193955593201,7.8290106047880075,agg__contratos__valor__mean,0.7452782421993683,0.1521262090796326,False
agg__contratos__valor__max,-0.18546866327075576,1.3523185589326168,-0.13714864892274045,0.8910049912083893,-2.846664618215941,2.4757272916744295,agg__contratos__valor__max,0.7136650919009441,0.17124998063837713,False
agg__contratos__valor__sum,-0.03542945589809257,0.1851924079933243,-0.19131160009199574,0.8484104564256487,-0.3998652493603857,0.3290063375642005,agg__contratos__valor__sum,0.6407495802763228,0.1864439480145088,False
