conjunto,valor_real,valor_previsto,residuo
teste,152298.7,15621.192913932395,136677.5070860676
teste,840.0,16937.03420473811,-16097.03420473811
teste,11695.07,15345.261754053136,-3650.191754053136
teste,230.32,16937.03420473811,-16706.71420473811
teste,4063.6,16937.03420473811,-12873.434204738109
teste,2400.0,16937.03420473811,-14537.03420473811
teste,3482.59,16937.03420473811,-13454.444204738109
teste,46506.6,0.0,46506.6
teste,35.52,16937.03420473811,-16901.51420473811
teste,4949.73,16937.03420473811,-11987.30420473811
teste,3690.0,16937.03420473811,-13247.03420473811
teste,210.0,17497.85541862571,-17287.85541862571
teste,102.16,15062.922043963426,-14960.762043963427
teste,3530.95,16937.03420473811,-13406.084204738108
teste,17163.65,16937.03420473811,226.61579526189234
teste,78936.81,16937.03420473811,61999.775795261885
teste,32973.46,16937.03420473811,16036.42579526189
teste,259.0,16937.03420473811,-16678.03420473811
teste,1365.0,16937.03420473811,-15572.03420473811
teste,46.8,12134.345089564316,-12087.545089564317
teste,3915.66,16937.03420473811,-13021.37420473811
teste,1240.0,10925.74066760587,-9685.74066760587
teste,149.15,16937.03420473811,-16787.884204738108
teste,160.0,16937.03420473811,-16777.03420473811
teste,195.12,16937.03420473811,-16741.91420473811
teste,387.64,16937.03420473811,-16549.39420473811
teste,126.7,17497.85541862571,-17371.15541862571
teste,250.2,16937.03420473811,-16686.83420473811
teste,262.0,15568.479558215628,-15306.479558215628
teste,369.76,16937.03420473811,-16567.27420473811
teste,69.0,16937.03420473811,-16868.03420473811
teste,127.04,16937.03420473811,-16809.99420473811
teste,692.85,16937.03420473811,-16244.184204738109
teste,311.27,16937.03420473811,-16625.76420473811
teste,21869.16,15257.955342289415,6611.204657710585
teste,88.79,16937.03420473811,-16848.24420473811
teste,16447.5,16937.03420473811,-489.5342047381091
teste,1050.0,14701.615474885306,-13651.615474885306
teste,153.86,16937.03420473811,-16783.17420473811
teste,1355.67,16937.03420473811,-15581.364204738109
teste,5848.0,14956.524892377514,-9108.524892377514
teste,56.9,16937.03420473811,-16880.134204738108
teste,19000.0,16937.03420473811,2062.965795261891
teste,670.05,12926.208069700084,-12256.158069700085
teste,17681.44,15860.177502840332,1821.262497159667
teste,494.53,16937.03420473811,-16442.50420473811
teste,382.5,15132.68998680279,-14750.18998680279
teste,1513.8,16937.03420473811,-15423.23420473811
teste,5512.5,16937.03420473811,-11424.53420473811
teste,440.0,17497.85541862571,-17057.85541862571
teste,260.0,15132.68998680279,-14872.68998680279
teste,2580.0,16937.03420473811,-14357.03420473811
teste,1740.0,16937.03420473811,-15197.03420473811
teste,2800.0,16937.03420473811,-14137.03420473811
teste,150.0,16937.03420473811,-16787.03420473811
teste,751.44,16937.03420473811,-16185.594204738109
teste,8096.0,16937.03420473811,-8841.03420473811
teste,6180.0,16937.03420473811,-10757.03420473811
teste,12750.0,16937.03420473811,-4187.034204738109
teste,5698.5,16937.03420473811,-11238.53420473811
teste,146.35,16937.03420473811,-16790.68420473811
teste,408.48,16937.03420473811,-16528.55420473811
teste,450.0,16937.03420473811,-16487.03420473811
teste,55200.0,16937.03420473811,38262.96579526189
teste,66.06,16937.03420473811,-16870.974204738108
teste,342.0,15079.324381614022,-14737.324381614022
teste,1170.75,16937.03420473811,-15766.28420473811
teste,66.6,16937.03420473811,-16870.43420473811
teste,1594.0,16937.03420473811,-15343.03420473811
teste,1875.0,15130.649054551634,-13255.649054551634
teste,40.0,16937.03420473811,-16897.03420473811
teste,2095.0,16937.03420473811,-14842.03420473811
teste,1170.0,16937.03420473811,-15767.03420473811
teste,31.84,16937.03420473811,-16905.19420473811
teste,167.4,16937.03420473811,-16769.634204738108
teste,1280.0,15050.095393446018,-13770.095393446018
teste,19.8,16937.03420473811,-16917.23420473811
